"X","Y"
173,169.8
168.1,167
201.8,190.6
186.5,181.3
169.9,162.4
190.9,178.5
181,173.8
178.6,173.3
196.4,181.8
171.1,161.6
177.2,170.4
188.4,173.1
196.5,184.1
171.3,167.5
198.4,182.6
191.9,187.5
181.6,172.7
187.5,182
201.4,189.9
189.8,176
190.2,180.4
181,176.7
182.6,171.8
179.2,170.8
177.3,165.8
194.3,182.6
178.4,163.8
191.5,175.9
179.2,176.5
172.8,160.6
188.7,184.8
185.3,170.5
194.7,184.3
162,158.9
173.9,169.3
201.7,187.3
183.7,172.7
192.8,179.4
191,179.7
198.5,188.4
183.9,169.7
182.5,173
170.8,163.3
179.4,166.7
182.5,173.1
187.8,181.2
194.9,182.8
190.8,184.6
180.8,175.4
185.8,179
183.8,176.2
194.1,184.5
168,162.6
176.3,164.3
188.6,176.8
188.6,176.9
179,170.2
185.2,170.3
170,164.8
169.5,160.6
